﻿原文,译文
凯尔特拉姆·麦克·穆尔霍莱格？哦，是了，他家姑娘我大概认得。,
你将来是要做斯凯恩女祭司的人。这种仪式多参加几回，保管你腻烦透顶。,
他先是试图自卫，接着就想逃跑。结果被绊倒在地，活活给咬死了。,
就帮我个忙，可别在短时间内就跟谁生一堆娃、安定下来，成吗？我可不想一下失去我仅有的两个至交好友。,
那我们最好躲远些。多谢你的警告！,
去拜访比约格迪丝，探问一下她女儿身体如何。,
{杀了他。}不如我把所有东西统统卷走！,
凯蒂尔瞪大了眼睛，死死盯着那些战利品。,
我可不是个乐善好施的人。,
她的脸腾地一下涨得通红。,
退下，你们这帮蠢货！我们只不过是想求药，去治那折磨我全家的恶疾！,
我算是准备好了要离开这鬼地方了，你准备好了没？我反正是一刻也不想多待了！,
我知道这纯粹是疯癫的梦中逻辑，可我心底里有个声音，竟完完全全相信事情就会那么发生。,
我绝不会辜负诸位寄予我的信任。诸位的性命与安康，才是我心头最挂念的头等大事。咱们人人都在渴求财富与荣耀，可倘若无福消受，不能安康地活着去享用，这些东西要了又有何用？,
我们[i]绝不可能[/i]放异教武士踏入珀斯一步！你们必败无疑！吾王正仰赖着我们！,
或许咱们的领地[i]真该[/i]合并起来。不过，得[i]由我[/i]来掌权。,
她并不像我倾心于她那般倾心于我。,
众人爆出一阵欢呼，纷纷举杯畅饮。又有几块额外的肉被投入锅中，在熊熊烈焰上咕嘟咕嘟地炖煮起来。,
呃，这真是糟透了。我喝完这玩意儿非后悔不可。,
整条肮脏的小巷遍布着挣扎与恐慌的痕迹，然而，你的目光却被墙根一路拖向河边的斑斑血迹牢牢攫住了。,
一帮不知天高地厚的蠢货。你们还不明白自己捅了多大的娄子吗？,
再次多谢你出手相助。不值得为头猪闹出人命，甭管咱们两家素日如何相处。,
行了。我完事了。咱们撤吧。,
我先折回去跟其他人报个信，告诉他们出了什么事。我向你保证，我们定会把你从那里救出来。,
我留意到你觐见国王时的光景了。在他那儿你休想有任何进展。埃塞尔雷德可要通情达理得多。,
我懂了。有种较之情爱或欲望更为强大的力量，正把你从我身边拽走。我早已见惯了这人世间的悲欢离合。,
你对你的庇护人就只有这点儿信心吗？他帝国的丰碑，在这片大地上处处拔地而起。找个新归宿，怕也没那么难吧。,
神明的恩宠，从不会平白无故地赐下。待你能够献上一份配得上神明的祭品时，随时随地，你都可以回来。,
他头也不回，只抬手做了个致意的手势。,
{查验尸体。},
这么说，咱们现在能去见瓦莱里乌斯了？,
丹尔那副面无表情的模样，端的是滴水不漏。,
我一直在寻你。,
埃迪丝那副神态，分明是恨不得叫你们所有人都明白，她才懒得管你们这帮年轻人夜里搞什么勾当。,
利奥弗里克或许已经死了，但这宅子里面，毫无疑问还有更多的守卫在候着咱们。,
你与父亲和他那些早已故去多年的侍卫们并肩而立，赢下了这场战斗。被斩杀的约顿巨人尸身倒地，仍在阴燃，面孔扭曲成一幅幅痛苦而惊诧的模样。,
盟友有需，我自然乐意相助。,
你可认识一个女孩？她跟一个叫凯尔特拉姆的混在一起。,
拿去，这就是她偷的全部东西。拿着，赶紧走。,
[i]圣母玛利亚，天主之母，求你现在和我们临终时，为我们罪人祈求天主。[/i],
他大概快三十岁，身穿一件饱经磨损的盔甲，下巴上横着一条可怖的疤痕，那是曾被长矛刺穿留下的创口。,
民兵队的首领是个老人，身材精瘦结实，双手一看就惯于粗重活计。他瞎了一只右眼。,
你就是西奥多？,
多谢了，[Player:诺尔斯人/诺尔斯女人]。看来你的灵魂也未必就没救了。,
我心里当真没什么打算。,
双方都有份！他们偷了我们的货，逼得我们为了活命只能去偷他们的！我们困在了这里，没船，没马，没有货物能买通回家的路。你说：我们还有什么活路？,
{判断一下周围的情况。},
你若是那个意思，那我一向不派旁人替我上阵厮杀。,
年轻的女巫眉头一皱。,
墙壁坍塌的巨响灌满了整条坑道，卫兵们吓得跳将起来，惊恐万状。,
斯库勒领主侵入了我的领地——我这才被迫向他处求援。,
奥斯雷德手下的一名密使正在会晤一群麦西亚人，以争取他们支持，对抗埃塞尔雷德那场迫在眉睫的政变。绝不能容此事发生，故此交给你的任务便是中断这场谈判，并将与会之人尽数斩杀。,
他话音含糊，语调飘忽不定。,
以阿萨神族之名起誓，那些传言竟是真的。,
祭司望着你，神色焦灼。,
挨了那一下，他是决计爬不起来了。斯库勒领主死了。,
那些奴仆们警惕地望着你，猜不透你打算怎样处置他们。一个下巴上刚冒出些须茬的年轻人，小心翼翼地朝前迈了一步。,
为你的叔叔格里穆尔夫报仇雪恨。,
等所有人都上了船，我才会做决定。,
想过我们的地头，就得留下买路钱……他们的货物，还有他们的命！,
罗斯克瓦——去看看你能帮上些什么。,
她梦见自己一丝不挂地走过一片草地，乌鸦绕着她上下盘旋。,
与你的侍卫们商议拉格恩瓦尔德带回的情报。,
我该着手了。,
审讯一个被俘的挪威掠袭者。,
西人凯蒂尔。,
我没兴趣与你们的国王交谈。,
墓地花,
若想再多探听些消息，你可以去找管事的牧师或民兵队长谈谈。他们正在后头叙话。,
罗斯克瓦发出一声挫败的战栗喘息，恼怒地在原地一转，便独自消失在了密林深处。,
你都卖些什么？,
用得着你的时候我自会回来。,
正是。我听到的情况也一般无二。那么请问，假使我明日便召集莱当征募军，你下辖各地能提供多少训练有素、装备齐全的战士？,
你能就此了断，倒也是件好事。,
仅余光秃的骨骸，破损不堪，饱经风霜。饿极的食腐动物将骨骸拖得七零八落，原本会流溢满地的液体，大多被变了色的泥土吞咽了个干净。,
{和凯蒂尔一同回你的帐篷。},
见你一寸寸凑上前来，贾姆珀满眼狐疑地上下打量着你，随即重心微沉，暗自提防你要耍什么花招。,
既然如此，你可愿意将你的那套说法给我讲讲？,
听着倒是个值得一试的好对手。,
肮脏交易,
英吉马正装出一副全神贯注于他那蜜酒的模样，可你瞧得出他正使劲支着耳朵偷听。,
行，那我从此便做个哑巴，一个字也不说了！,
好让你日后拿它来对付我？不如等打完这一架再来解决这档子事，嗯？除非我战死了——那你只管从我冷冰冰、硬邦邦的手里把它夺过去！,
{取消。},
古头盔,
外乡人……求求你们，帮把手……,
到村子北边的瞭望塔和祭司的儿子会合。,
容我瞧瞧你有些什么。,
那[Unlucky:倒霉蛋]不费吹灰之力便抓住了绳索，有你在旁相助，片刻之后，[Unlucky:他/她]便给弄到了安全的地方。,
敌军的伤亡少说也有我们的六倍之巨。咱们的战术果真大收奇效！,
犬妖？,
他将手中那件木工活重重往下一拍，转过身来面朝着你。他眼中怒气一瞬即逝，跟着便冷静了下来。,
赫罗德盖尔达。杀害斯库勒的凶手。,
一个自由的男人或女人，或是三条奴隶的性命。这便是进入墓穴的代价。付清代价，或是就此离去。,
她笑了——这次可是货真价实的笑容，连牙齿都露了出来，毫无保留。,
她明显喘不上气，只是微微点头，跟你打了个招呼。,
斯库利维持着一副礼貌却空洞的表情。,
这地方有什么需要我帮忙的吗？,
要来一杯吗？,
尽管那人差不多已经看见你这一记右勾拳抡过去，可你这一拳的力道根本没给他招架的机会。拳头砸中他下巴的瞬间，一声闷响，他当场昏死过去。,
我们该拿了要取的东西，赶紧离开这里。,
力量提升，持续3回合。使用两次则效果翻倍，但会因此降低灵巧和感知，直到战斗结束。,
你正捧着一碗热腾腾的美味炖菜，享受难得的清静，这时内菲娅疲惫地呻吟一声，在你身边坐了下来。,
完事了。快离开这儿。,
一张用绳索悬吊的结实宽眼网。受害者会陷入束缚状态，直到下回合结束。,
结果还不算太糟。,
你若想秘密潜入耶灵，就在通往南门的小路左边找一栋小农舍。,
谢谢你，父亲。我想你。,
你觉得埃迪丝这人怎么样？,
当[Stuck:他/她]终于从泥里挣脱出来时，[Laugher:Name]赞赏地拍了拍[Stuck:Name]的后背。,
酸液罐,
但我不能派我的战士们去支援你们。,
一旦考斯坦丁倒下，就再没人能协调珀斯的防御。军队很可能会按氏族分崩离析，四散而去。,
你能从远处把他们中的一个干掉吗？,
皮克特军队已经在镇子西侧就位。,
方圆数英里的所有贸易都经过这座港口。,
那个小女巫？她可是个救命恩人！我说的是字面意思，她不止一次帮我包扎过伤口。比原来还好用！有这样的人在身边，真是福气。,
嗯，看你们这些人在这一带的所作所为，我估摸着你们也走不了什么运，不过要是你们想去珀斯，我们可以护送你们过去。,
听着，很明显你们压根不是什么商人。我不喜欢被人糊弄，所以我觉得你们最好还是走吧。,
久到我都习惯了。不过最近情况倒是越来越糟了。,
他毫不犹豫地点了点头。,
父亲有两枚图腾，若是有人需要以他的名义行事，就会借给他们。只要你们把图腾亮给守卫看，他们立马就会放你们进去。,
其实嘛，是骑着一条龙飞来的。,
发生了什么事？,
我当然见过。像贡纳尔那样的人，谁都不会轻易忘记。我猜你也见过他了吧。但愿不是在战场上见的？,
我们在盯着你呢。你和你那帮人都给我放规矩点儿！,
我想我们俩心里都清楚，这个价码根本不合情理。,
你在干什么？,
格里穆尔夫，没错，但他不是你父亲。那艘船只配了最基本的船员，总共五个人，领头的就是格里穆尔夫。他们提到船是一位[Player:Father]的，但在海上出了岔子，他们这是要返航回家。,
丹尔转过头喊道。,
我真希望自己能说对此感到吃惊，但这恰恰是教会内部其他群体强加给我们的一贯谎言。,
我们必须到别处去寻求政治盟友。那片汪洋彼岸的伟大王国——若能获得他们的支持，我们也许就能抵御这些企图征服我们的行径。,
好吧。再拖下去也没意义了。,
洞穴边缘露出一道向下的竖井，深不见底。气流正是从这儿来的。至少在你目所能及的范围内，它的宽度足以容得下一个人。,
铁匠克维尔德乌尔夫已经退回到他熟悉的工坊里，此时正和妻子达格海德展开一场激烈的争论。,
恩巴尔德嘴角浮起一丝讥笑。,
从你们登陆的消息传到埃奥福维克那一刻起，我就知道事情迟早会走到这一步。你们的人给这片土地带来的，只有死亡和毁灭。,
